"Brand","Model","Minivan","Wagon","Pickup","Automatic","EngineSize","Cylinders","CityMPG","HwyMPG","SUV","AWD","Hybrid"
"VOLKSWAGEN","Jetta","0.0","0.0","0.0","1.0","2.5","5.0","22.0","30.0","0.0","0.0","0.0"
"VOLVO","S40 FWD","0.0","0.0","0.0","0.0","2.4","5.0","22.0","29.0","0.0","0.0","0.0"
"VOLVO","S40 FWD","0.0","0.0","0.0","1.0","2.4","5.0","22.0","30.0","0.0","0.0","0.0"
"VOLVO","S40 FWD","0.0","0.0","0.0","0.0","2.5","5.0","22.0","31.0","0.0","0.0","0.0"
"VOLVO","S60 FWD","0.0","0.0","0.0","0.0","2.4","5.0","22.0","29.0","0.0","0.0","0.0"
"VOLVO","V50 FWD","0.0","1.0","0.0","0.0","2.4","5.0","22.0","29.0","0.0","0.0","0.0"
"VOLVO","V50 FWD","0.0","1.0","0.0","1.0","2.4","5.0","22.0","30.0","0.0","0.0","0.0"
"VOLVO","V50 FWD","0.0","1.0","0.0","0.0","2.5","5.0","22.0","31.0","0.0","0.0","0.0"
"VOLVO","V70 FWD","0.0","1.0","0.0","0.0","2.4","5.0","22.0","29.0","0.0","0.0","0.0"
"ACURA","TSX","0.0","0.0","0.0","1.0","2.4","4.0","22.0","31.0","0.0","0.0","0.0"
"AUDI","A4","0.0","0.0","0.0","0.0","1.8","4.0","22.0","31.0","0.0","0.0","0.0"
"AUDI","A4 Avant Quattro","0.0","1.0","0.0","0.0","2.0","4.0","22.0","31.0","0.0","0.0","0.0"
"AUDI","A4 Avant Quattro","0.0","1.0","0.0","1.0","2.0","4.0","22.0","30.0","0.0","0.0","0.0"
"AUDI","A4 Quattro","0.0","0.0","0.0","0.0","2.0","4.0","22.0","31.0","0.0","0.0","0.0"
"AUDI","A4 Quattro","0.0","0.0","0.0","1.0","2.0","4.0","22.0","30.0","0.0","0.0","0.0"
"CHEVROLET","Optra","0.0","0.0","0.0","1.0","2.0","4.0","22.0","30.0","0.0","0.0","0.0"
"CHEVROLET","Optra","0.0","0.0","0.0","0.0","2.0","4.0","22.0","30.0","0.0","0.0","0.0"
"CHEVROLET","Optra 5","0.0","0.0","0.0","1.0","2.0","4.0","22.0","30.0","0.0","0.0","0.0"
"CHEVROLET","Optra 5","0.0","0.0","0.0","0.0","2.0","4.0","22.0","30.0","0.0","0.0","0.0"
"CHRYSLER","PT Cruiser","0.0","0.0","0.0","0.0","2.4","4.0","22.0","29.0","1.0","0.0","0.0"
"CHRYSLER","PT Cruiser Conv/Cabrio","0.0","0.0","0.0","0.0","2.4","4.0","22.0","29.0","1.0","0.0","0.0"
"CHRYSLER","Sebring 4-dr","0.0","0.0","0.0","1.0","2.4","4.0","22.0","30.0","0.0","0.0","0.0"
"CHRYSLER","Sebring Conv","0.0","0.0","0.0","1.0","2.4","4.0","22.0","30.0","0.0","0.0","0.0"
"DODGE","Neon/SRT-4/SX 2","0.0","0.0","0.0","0.0","2.4","4.0","22.0","30.0","0.0","0.0","0.0"
"DODGE","Stratus 4-dr","0.0","0.0","0.0","1.0","2.4","4.0","22.0","30.0","0.0","0.0","0.0"
"FORD","Escape 2WD","0.0","0.0","0.0","1.0","2.3000000000000003","4.0","22.0","25.0","1.0","0.0","0.0"
"FORD","Escape 4WD","0.0","0.0","0.0","0.0","2.3000000000000003","4.0","22.0","26.0","1.0","0.0","0.0"
"FORD","Focus FWD","0.0","0.0","0.0","0.0","2.3000000000000003","4.0","22.0","31.0","0.0","0.0","0.0"
"FORD","Ranger Pickup 2WD","0.0","0.0","1.0","1.0","2.3000000000000003","4.0","22.0","26.0","0.0","0.0","0.0"
"HONDA","CR-V 4WD","0.0","0.0","0.0","1.0","2.4","4.0","22.0","27.0","1.0","0.0","0.0"
"HONDA","Element 2WD","0.0","0.0","0.0","1.0","2.4","4.0","22.0","26.0","1.0","0.0","0.0"
"HYUNDAI","Sonata","0.0","0.0","0.0","1.0","2.4","4.0","22.0","30.0","0.0","0.0","0.0"
"HYUNDAI","Sonata","0.0","0.0","0.0","0.0","2.4","4.0","22.0","30.0","0.0","0.0","0.0"
"HYUNDAI","Tiburon","0.0","0.0","0.0","1.0","2.0","4.0","22.0","30.0","0.0","0.0","0.0"
"HYUNDAI","Tucson 2WD","0.0","0.0","0.0","1.0","2.0","4.0","22.0","27.0","1.0","0.0","0.0"
"HYUNDAI","Tucson 2WD","0.0","0.0","0.0","0.0","2.0","4.0","22.0","27.0","1.0","0.0","0.0"
"KIA","Optima","0.0","0.0","0.0","1.0","2.4","4.0","22.0","30.0","0.0","0.0","0.0"
"KIA","Sportage 2WD","0.0","0.0","0.0","1.0","2.0","4.0","22.0","27.0","1.0","0.0","0.0"
"KIA","Sportage 2WD","0.0","0.0","0.0","0.0","2.0","4.0","22.0","27.0","1.0","0.0","0.0"
"MAZDA","B2300 2WD","0.0","0.0","1.0","1.0","2.3000000000000003","4.0","22.0","26.0","0.0","0.0","0.0"
"MAZDA","MX-5 Miata","0.0","0.0","0.0","1.0","1.8","4.0","22.0","28.0","0.0","0.0","0.0"
"MAZDA","Tribute 2WD","0.0","0.0","0.0","1.0","2.3000000000000003","4.0","22.0","25.0","1.0","0.0","0.0"
"MAZDA","Tribute 4WD","0.0","0.0","0.0","0.0","2.3000000000000003","4.0","22.0","26.0","1.0","0.0","0.0"
"MERCURY","Mariner 2WD","0.0","0.0","0.0","1.0","2.3000000000000003","4.0","22.0","26.0","1.0","0.0","0.0"
"MITSUBISHI","Lancer","0.0","0.0","0.0","1.0","2.4","4.0","22.0","28.0","0.0","0.0","0.0"
"MITSUBISHI","Lancer Sportback","0.0","1.0","0.0","1.0","2.4","4.0","22.0","29.0","0.0","0.0","0.0"
