Brand	Model	Minivan	Wagon	Pickup	Automatic	EngineSize	Cylinders	CityMPG	HwyMPG	SUV	AWD	Hybrid
MAZDA		0.000000	0.000000	0.000000	1.000000	2.300000	4.000000	23.000000	28.000000	0.000000	0.000000	0.000000
MAZDA	MX-5 Miata	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	23.000000	28.000000	0.000000	0.000000	0.000000
MAZDA	MX-5 Miata	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	23.000000	28.000000	0.000000	0.000000	0.000000
MERCEDES-BENZ	C230 Kompressor	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	23.000000	32.000000	0.000000	0.000000	0.000000
MERCEDES-BENZ	C230 Kompressor Sports Coupe	0.000000	0.000000	0.000000	1.000000	1.800000	4.000000	23.000000	32.000000	0.000000	0.000000	0.000000
MERCEDES-BENZ	C230 Kompressor Sports Coupe	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	23.000000	31.000000	0.000000	0.000000	0.000000
MINI	Cooper S	0.000000	0.000000	0.000000	1.000000	1.600000	4.000000	23.000000	32.000000	0.000000	0.000000	0.000000
MINI	Cooper S Conv	0.000000	0.000000	0.000000	1.000000	1.600000	4.000000	23.000000	32.000000	0.000000	0.000000	0.000000
MITSUBISHI	Eclipse	0.000000	0.000000	0.000000	0.000000	2.400000	4.000000	23.000000	31.000000	0.000000	0.000000	0.000000
MITSUBISHI	Eclipse Spyder	0.000000	0.000000	0.000000	0.000000	2.400000	4.000000	23.000000	31.000000	0.000000	0.000000	0.000000
MITSUBISHI	Galant	0.000000	0.000000	0.000000	1.000000	2.400000	4.000000	23.000000	30.000000	0.000000	0.000000	0.000000
MITSUBISHI	Lancer	0.000000	0.000000	0.000000	0.000000	2.400000	4.000000	23.000000	29.000000	0.000000	0.000000	0.000000
NISSAN	Altima	0.000000	0.000000	0.000000	1.000000	2.500000	4.000000	23.000000	29.000000	0.000000	0.000000	0.000000
NISSAN	Sentra	0.000000	0.000000	0.000000	1.000000	2.500000	4.000000	23.000000	28.000000	0.000000	0.000000	0.000000
NISSAN	Sentra	0.000000	0.000000	0.000000	0.000000	2.500000	4.000000	23.000000	29.000000	0.000000	0.000000	0.000000
SAAB	9-2X Wagon AWD	0.000000	1.000000	0.000000	1.000000	2.500000	4.000000	23.000000	29.000000	0.000000	1.000000	0.000000
SATURN	Ion	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	23.000000	29.000000	0.000000	0.000000	0.000000
SATURN	Vue FWD	0.000000	0.000000	0.000000	0.000000	2.200000	4.000000	23.000000	29.000000	1.000000	0.000000	0.000000
SCION	tC	0.000000	0.000000	0.000000	1.000000	2.400000	4.000000	23.000000	30.000000	0.000000	0.000000	0.000000
SUBARU	Forester AWD	0.000000	0.000000	0.000000	0.000000	2.500000	4.000000	23.000000	30.000000	1.000000	1.000000	0.000000
